distance,min_focus,max_focus,avg_focus,zoom
250,361,449,405,25
260,390,449,419.5,27
270,383,456,419.5,29
280,378,437,407.5,31
290,383,473,428,32
300,388,466,427,34
310,438,466,452,35
320,422,473,447.5,36
330,450,473,461.5,38
340,440,459,449.5,39
350,431,469,450,40
360,436,473,454.5,41
370,440,479,459.5,42
380,450,498,474,43
390,460,488,474,44
400,480,492,486,45
410,480,489,484.5,46
420,478,498,488,47
430,487,511,499,48
440,487,511,499,48
450,486,520,503,49
460,485,504,494.5,50
470,485,504,494.5,50
480,494,514,504,51
490,505,521,513,52
500,505,521,513,52
510,503,527,515,53
520,503,527,515,53
530,511,531,521,54
540,517,528,522.5,55
550,517,528,522.5,55
560,527,536,531.5,56
570,526,537,531.5,56
580,536,543,539.5,57
590,544,554,549,57
600,533,558,545.5,58
610,533,558,545.5,58
620,539,552,545.5,59
630,538,551,544.5,59
640,546,562,554,59
650,550,564,557,60
660,550,564,557,60
670,548,567,557.5,61
680,548,567,557.5,61
690,559,576,567.5,62
700,559,576,567.5,62
710,565,576,570.5,62
720,573,585,579,63
730,573,585,579,63
740,574,585,579.5,64
750,574,585,579.5,64
760,574,585,579.5,64
770,580,595,587.5,65
780,580,595,587.5,65
790,574,591,582.5,66
800,591,604,597.5,66
810,591,604,597.5,66
820,580,593,586.5,67
830,588,605,596.5,67
840,588,605,596.5,67
850,588,605,596.5,67
860,607,612,609.5,68
870,607,612,609.5,68
880,607,612,609.5,68
890,607,612,609.5,69
900,607,612,609.5,69
910,607,612,609.5,69
920,607,612,609.5,69
930,608,618,613,70
940,608,618,613,70
950,608,618,613,70
960,608,618,613,70
970,608,618,613,70
980,613,628,620.5,71
990,613,628,620.5,71
1000,619,628,623.5,71
1010,619,628,623.5,71
1020,619,628,623.5,71
1030,636,650,643,72
1040,636,650,643,72
1050,636,650,643,72
1060,636,650,643,72
1070,644,657,650.5,72
1080,644,657,650.5,73
1090,644,657,650.5,73
1100,644,657,650.5,73
